time_ms,power_pct,weight_g,flow_gps,pressure_bar
250501,25,1.30,0.000,7.99
250621,25,1.30,0.000,7.97
250801,25,1.30,0.000,8.01
250906,25,1.30,0.000,7.97
251011,25,1.30,0.000,7.97
251206,25,1.30,0.000,7.97
251311,25,1.30,0.000,7.99
251416,25,1.30,0.000,8.00
251611,25,1.30,0.000,7.99
251716,25,1.30,0.000,7.87
251821,25,1.30,0.000,7.99
251926,25,1.30,0.000,7.95
252031,25,1.30,0.000,7.95
252136,25,1.30,0.000,7.96
252331,25,1.30,0.000,7.95
252436,25,1.30,0.000,7.94
252631,25,1.30,0.000,7.94
252736,25,1.30,0.000,7.94
252841,25,1.30,0.000,7.93
253021,25,1.30,0.000,7.94
253125,25,1.30,0.000,7.93
253321,25,1.30,0.000,7.93
253426,25,1.30,0.000,7.88
253531,25,1.30,0.000,7.90
253636,25,1.30,0.000,7.87
253741,25,1.30,0.000,7.87
253936,25,1.30,0.000,7.89
254041,25,1.30,0.000,7.86
254146,25,1.30,0.000,7.86
254251,25,1.30,0.000,7.82
254356,25,1.30,0.000,7.82
