time_ms,power_pct,weight_g,flow_gps,pressure_bar,clicks_total,clicks_per_s
1632043,45.0,1.50,0.000,8.09,0,0.00
1632446,45.0,1.50,0.000,8.07,0,0.00
1632641,45.0,1.50,0.000,8.07,1,5.13
1632746,45.0,1.50,0.000,0.00,4,28.57
1632941,45.0,1.50,0.000,0.00,9,25.64
1633046,45.0,1.50,0.000,0.00,12,28.57
1633151,45.0,1.50,0.000,0.00,14,19.05
1633346,45.0,1.50,0.000,0.00,20,30.77
1633451,45.0,1.50,0.000,0.00,22,19.05
1633646,45.0,2.40,2.083,0.00,28,30.77
1633751,45.0,2.70,2.277,0.00,31,28.57
1633856,45.0,3.20,2.898,0.24,34,28.57
1634051,45.0,4.10,3.624,0.00,39,25.64
1634156,45.0,4.50,3.671,0.00,42,28.57
1634261,45.0,4.90,3.705,0.00,45,28.57
1634366,45.0,5.30,3.731,0.00,47,19.05
1634561,45.0,6.50,4.777,0.00,53,30.77
1634771,45.0,7.50,4.771,0.00,58,23.81
1634876,45.0,8.00,4.768,0.29,61,28.57
1635056,45.0,8.89,4.812,0.00,66,27.78
1635161,45.0,9.30,4.586,0.00,69,28.57
1635266,45.0,9.80,4.630,0.00,72,28.57
1635386,45.0,10.30,4.514,0.00,75,25.00
1635566,45.0,11.10,4.497,0.00,80,27.78
1635671,45.0,11.60,4.563,0.00,83,28.57
1635791,45.0,12.00,4.255,0.00,86,25.00
1635971,45.0,12.80,4.338,0.00,91,27.78
1636076,45.0,13.20,4.206,0.00,94,28.57
1636286,45.0,13.90,3.824,0.00,99,23.81
1636391,45.0,14.50,4.297,0.00,102,28.57
1636496,45.0,15.00,4.413,0.00,105,28.57
1636691,45.0,15.80,4.268,0.00,110,25.64
1636796,45.0,16.20,4.153,0.00,113,28.57
1636901,45.0,16.60,4.067,0.00,116,28.57
1637006,45.0,17.10,4.241,0.00,119,28.57
1637201,45.0,17.90,4.171,0.00,124,25.64
1637306,45.0,18.20,3.843,0.00,127,28.57
1637411,45.0,18.70,4.073,0.00,130,28.57
1637576,45.0,19.40,4.115,0.00,134,24.24
1637711,45.0,19.79,3.808,0.00,138,29.63
1637876,45.0,20.60,4.084,0.00,142,24.24
1637981,45.0,21.00,4.015,0.00,145,28.57
1638086,45.0,21.40,3.964,0.00,148,28.57
1638281,45.0,22.20,4.045,0.00,153,25.64
1638386,45.0,22.60,3.986,0.00,156,28.57
1638596,45.0,23.40,3.909,0.00,162,28.57
1638791,45.0,24.10,3.746,0.00,167,25.64
1638986,45.0,25.00,4.101,0.00,172,25.64
1639091,45.0,25.40,4.028,0.00,175,28.57
1639286,45.0,26.20,4.052,0.00,180,25.64
1639391,45.0,26.60,3.991,0.00,183,28.57
1639496,45.0,27.00,3.946,0.00,186,28.57
1639691,45.0,27.80,4.005,0.00,191,25.64
1639796,45.0,28.20,3.956,0.00,194,28.57
1639991,45.0,29.20,4.517,0.00,199,25.64
1640096,45.0,29.50,4.102,0.00,202,28.57
1640201,45.0,29.90,4.029,0.00,205,28.57
1640306,45.0,30.30,3.974,0.00,208,28.57
1640501,45.0,31.10,3.991,0.00,213,25.64
1640711,45.0,31.90,3.912,0.00,219,28.57
1640816,45.0,32.30,3.886,0.00,221,19.05
1640936,45.0,32.70,3.748,0.00,225,33.33
1641101,45.0,33.40,3.872,0.00,229,24.24
1641206,45.0,33.80,3.856,0.00,232,28.57
1641326,45.0,34.20,3.725,0.00,235,25.00
1641506,45.0,35.00,3.905,0.00,240,27.78
1641611,45.0,35.40,3.881,0.00,243,28.57
1641716,45.0,35.80,3.863,0.00,246,28.57
1641821,45.0,36.09,3.588,0.00,249,28.57
1642016,45.0,36.80,3.587,0.00,254,25.64
1642121,45.0,37.30,3.880,0.00,257,28.57
1642226,45.0,37.59,3.601,0.00,260,28.57
1642331,45.0,38.00,3.677,0.00,262,19.05
1642526,45.0,38.70,3.616,0.00,268,30.77
1642631,45.0,39.09,3.640,0.00,270,19.05
1642736,45.0,39.50,3.707,0.00,274,38.10
1642841,45.0,39.90,3.732,0.00,276,19.05
1642946,45.0,40.30,3.752,0.00,279,28.57
1643141,45.0,41.00,3.711,0.00,284,25.64
1643246,45.0,41.40,3.736,0.00,287,28.57
1643351,45.0,41.70,3.516,0.00,290,28.57
1643516,45.0,42.50,3.849,0.00,294,24.24
1643651,45.0,42.80,3.442,0.00,298,29.63
1643756,45.0,43.20,3.534,0.00,301,28.57
1643921,45.0,43.90,3.711,0.00,306,30.30
1644026,45.0,44.30,3.736,0.00,308,19.05
1647044,47.5,47.90,3.100,0.00,0,0.00
1647461,47.5,48.20,2.505,0.00,0,0.00
1647656,47.5,48.00,0.963,0.00,0,0.00
1647851,47.5,48.10,0.750,0.00,6,30.77
1647956,47.5,48.10,0.562,0.00,9,28.57
1648061,47.5,48.70,1.850,0.00,11,19.05
1648166,47.5,48.90,1.864,0.00,15,38.10
1648271,47.5,49.00,1.636,0.00,18,28.57
1648466,47.5,49.50,2.081,0.00,23,25.64
1648571,47.5,49.70,2.037,0.00,26,28.57
1648676,47.5,49.90,2.004,0.00,29,28.57
1648781,47.5,50.10,1.979,0.00,32,28.57
1648886,47.5,50.20,1.722,0.00,35,28.57
1649081,47.5,50.50,1.624,0.00,40,25.64
1649186,47.5,50.60,1.456,0.00,43,28.57
1649291,47.5,50.60,1.092,0.00,46,28.57
1649456,47.5,51.00,1.425,0.00,51,30.30
1649591,47.5,51.10,1.254,0.00,55,29.63
1649711,47.5,51.30,1.357,0.00,58,25.00
1649861,47.5,51.80,1.851,0.52,62,26.67
1649996,47.5,52.00,1.759,0.29,66,29.63
1650161,47.5,52.60,2.228,0.00,71,30.30
1650266,47.5,52.90,2.385,0.00,74,28.57
1650371,47.5,53.40,2.980,0.00,77,28.57
1650566,47.5,54.00,3.045,0.00,82,25.64
1650671,47.5,54.20,2.760,0.00,85,28.57
1650866,47.5,54.80,2.862,0.00,91,30.77
1650971,47.5,55.20,3.099,0.00,94,28.57
1651076,47.5,55.50,3.038,0.00,96,19.05
1651181,47.5,55.80,2.993,0.00,100,38.10
1651376,47.5,56.30,2.755,0.00,105,25.64
1651571,47.5,57.00,3.068,0.00,111,30.77
1651676,47.5,57.40,3.253,0.00,113,19.05
1651781,47.5,57.60,2.916,0.00,117,38.10
1651976,47.5,58.30,3.188,1.24,122,25.64
1652081,47.5,58.60,3.105,0.13,125,28.57
1652186,47.5,59.00,3.281,0.12,128,28.57
1652291,47.5,59.20,2.937,0.00,131,28.57
1652486,47.5,59.80,2.932,0.00,136,25.64
1652591,47.5,60.20,3.151,0.62,139,28.57
1652696,47.5,60.40,2.840,0.39,142,28.57
1652876,47.5,60.90,2.778,0.00,147,27.78
1652981,47.5,61.10,2.560,0.00,151,38.10
1653101,47.5,61.60,2.961,0.00,154,25.00
1653206,47.5,61.70,2.459,0.00,157,28.57
1653386,47.5,62.80,3.372,0.00,162,27.78
1653491,47.5,63.00,3.005,0.00,165,28.57
1653596,47.5,63.30,2.968,0.00,167,19.05
1653791,47.5,63.90,2.979,0.00,173,30.77
1653896,47.5,64.30,3.187,0.00,176,28.57
1654001,47.5,64.50,2.866,0.54,179,28.57
1654106,47.5,65.00,3.340,0.30,182,28.57
1654211,47.5,65.19,2.958,0.00,185,28.57
1654406,47.5,65.90,3.205,0.00,190,25.64
1654511,47.5,66.30,3.356,0.00,193,28.57
1654616,47.5,66.69,3.446,0.59,197,38.10
1654721,47.5,66.90,3.084,0.00,199,19.05
1654826,47.5,67.40,3.504,0.00,202,28.57
1655021,47.5,68.10,3.578,0.49,208,30.77
1655126,47.5,68.19,2.898,0.00,211,28.57
1655231,47.5,68.60,3.150,0.00,214,28.57
1655336,47.5,68.90,3.076,0.00,217,28.57
1655531,47.5,69.69,3.492,0.00,222,25.64
1655636,47.5,69.90,3.119,0.16,225,28.57
