time_ms,power_pct,weight_g,flow_gps,pressure_bar
25417,45.0,0.00,0.000,2.25
25846,45.0,0.00,0.000,2.29
25950,45.0,0.00,0.000,2.27
26056,45.0,0.00,0.000,0.95
26251,45.0,0.00,0.000,0.26
26356,45.0,0.00,0.000,0.31
26461,45.0,0.00,0.000,0.31
26566,45.0,0.00,0.000,0.29
26761,45.0,0.00,0.000,0.00
26866,45.0,0.00,0.000,0.00
26970,45.0,0.00,0.000,0.02
27135,45.0,0.00,0.000,0.05
27240,45.0,0.00,0.000,0.06
27436,45.0,0.00,0.000,0.14
27540,45.0,0.00,0.000,0.14
27645,45.0,0.00,0.000,0.29
27841,45.0,0.00,0.000,0.24
27945,45.0,0.00,0.000,0.28
28141,45.0,0.00,0.000,0.28
28246,45.0,0.00,0.000,0.32
28351,45.0,0.00,0.000,0.34
28546,45.0,0.00,0.000,0.45
28651,45.0,0.00,0.000,0.52
28846,45.0,0.00,0.000,0.51
28951,45.0,0.00,0.000,0.49
29056,45.0,0.00,0.000,0.54
29251,45.0,0.00,0.000,0.58
29356,45.0,0.00,0.000,0.62
29551,45.0,0.00,0.000,0.79
29655,45.0,0.00,0.000,0.75
29761,45.0,0.00,0.000,0.89
29865,45.0,0.00,0.000,0.86
29986,45.0,0.00,0.000,0.90
30151,45.0,0.00,0.000,1.06
30256,45.0,0.00,0.000,0.99
30375,45.0,0.00,0.000,1.00
30481,45.0,0.00,0.000,1.03
30661,45.0,0.00,0.000,1.04
30765,45.0,0.00,0.000,0.99
30961,45.0,0.00,0.000,1.49
31065,45.0,0.00,0.000,1.47
31186,45.0,0.00,0.000,1.41
31381,45.0,0.00,0.000,1.44
31575,45.0,0.00,0.000,1.97
31681,45.0,0.00,0.000,2.00
31786,45.0,0.00,0.000,1.97
31891,45.0,0.00,0.000,1.96
31995,45.0,0.00,0.000,1.96
32191,45.0,0.00,0.000,2.07
32296,45.0,0.00,0.000,2.09
32401,45.0,0.00,0.000,2.05
32506,45.0,0.00,0.000,2.08
32610,45.0,0.00,0.000,2.07
32806,45.0,0.00,0.000,2.20
32911,45.0,0.00,0.000,2.23
33075,45.0,0.00,0.000,2.22
33211,45.0,0.00,0.000,2.23
33315,45.0,0.00,0.000,2.24
33481,45.0,0.00,0.000,2.32
33586,45.0,0.00,0.000,2.31
33781,45.0,0.00,0.000,2.29
33886,45.0,0.00,0.000,2.28
33991,45.0,0.00,0.000,2.30
34185,45.0,-0.10,0.000,2.32
34291,45.0,0.00,0.236,2.33
34486,45.0,0.00,0.133,2.32
34591,45.0,0.00,0.099,2.33
34696,45.0,0.00,0.075,2.34
34890,45.0,0.00,0.042,2.36
34996,45.0,0.00,0.031,2.34
35190,45.0,0.00,0.018,2.37
35295,45.0,0.00,0.013,2.34
35400,45.0,0.00,0.010,2.38
35595,45.0,0.00,0.006,2.40
35701,45.0,0.00,0.004,2.39
35805,45.0,0.00,0.003,2.41
35910,45.0,0.00,0.002,2.41
36106,45.0,0.00,0.001,2.40
36210,45.0,0.00,0.001,2.26
36315,45.0,0.00,0.001,2.40
36421,45.0,0.00,0.001,2.41
36601,45.0,0.00,0.000,2.41
36706,45.0,0.00,0.000,2.40
36825,45.0,0.00,0.000,2.46
37006,45.0,0.00,0.000,2.41
37110,45.0,0.00,0.000,2.42
37215,45.0,0.00,0.000,2.44
37321,45.0,0.00,0.000,2.45
40418,47.5,0.00,0.000,5.59
40830,47.5,0.00,0.000,5.65
40936,47.5,0.00,0.000,5.68
41131,47.5,0.00,0.000,0.58
41236,47.5,0.00,0.000,0.57
41341,47.5,0.00,0.000,0.68
41446,47.5,0.00,0.000,0.87
41550,47.5,0.00,0.000,1.06
41745,47.5,0.00,0.000,1.41
41941,47.5,0.00,0.000,0.88
42046,47.5,0.00,0.000,1.06
42150,47.5,0.00,0.000,1.27
42256,47.5,0.00,0.000,1.50
42360,47.5,0.00,0.000,1.69
42540,47.5,0.00,0.000,0.96
42660,47.5,0.00,0.000,1.10
42765,47.5,0.00,0.000,1.25
42946,47.5,0.00,0.000,1.58
43051,47.5,0.00,0.000,0.65
43156,47.5,0.00,0.000,0.81
43261,47.5,0.00,0.000,0.92
43456,47.5,0.00,0.000,1.13
43561,47.5,0.00,0.000,1.35
43666,47.5,0.00,0.000,1.49
43770,47.5,0.00,0.000,1.06
43875,47.5,0.00,0.000,1.17
44071,47.5,0.00,0.000,1.28
44176,47.5,0.00,0.000,1.45
44280,47.5,0.00,0.000,1.63
44386,47.5,0.00,0.000,1.56
44581,47.5,0.00,0.000,1.82
44686,47.5,0.00,0.000,1.87
44791,47.5,0.00,0.000,2.01
44896,47.5,0.00,0.000,2.12
45091,47.5,0.00,0.000,2.41
45195,47.5,0.00,0.000,2.45
45360,47.5,0.00,0.000,2.56
45465,47.5,0.00,0.000,2.62
45571,47.5,0.00,0.000,2.65
45766,47.5,0.00,0.000,3.00
45871,47.5,0.00,0.000,2.99
46065,47.5,0.00,0.000,2.93
46171,47.5,0.00,0.000,2.93
46275,47.5,0.00,0.000,3.19
46471,47.5,0.00,0.000,3.24
46575,47.5,0.00,0.000,3.21
46771,47.5,0.00,0.000,3.22
46876,47.5,0.00,0.000,3.27
46980,47.5,0.00,0.000,3.44
47176,47.5,0.00,0.000,3.42
47281,47.5,0.00,0.000,3.45
47476,47.5,0.00,0.000,3.40
47581,47.5,0.00,0.000,3.58
47685,47.5,0.00,0.000,3.57
47881,47.5,0.00,0.000,3.57
47986,47.5,0.00,0.000,3.54
48091,47.5,0.00,0.000,3.54
48196,47.5,0.00,0.000,3.52
48390,47.5,0.00,0.000,3.65
48586,47.5,0.00,0.000,3.64
48721,47.5,0.00,0.000,3.61
48885,47.5,0.00,0.000,3.73
48990,47.5,0.00,0.000,3.74
49095,47.5,0.00,0.000,3.72
49201,47.5,0.00,0.000,3.74
49396,47.5,0.00,0.000,3.69
49501,47.5,0.00,0.000,3.69
49606,47.5,0.00,0.000,3.83
49710,47.5,0.00,0.000,3.83
49891,47.5,0.00,0.000,3.79
50011,47.5,0.00,0.000,3.77
50131,47.5,0.00,0.000,3.74
50326,47.5,0.00,0.000,3.83
50521,47.5,0.00,0.000,3.82
50626,47.5,0.00,0.000,3.81
50730,47.5,0.00,0.000,3.80
50835,47.5,0.00,0.000,3.90
51030,47.5,0.00,0.000,3.86
51135,47.5,0.00,0.000,3.87
51241,47.5,0.00,0.000,3.87
51406,47.5,0.00,0.000,3.87
51510,47.5,0.00,0.000,3.88
51706,47.5,0.00,0.000,3.90
51841,47.5,0.00,0.000,3.87
52006,47.5,0.00,0.000,3.89
52111,47.5,0.00,0.000,3.84
52215,47.5,0.00,0.000,3.92
52410,47.5,0.00,0.000,3.90
55419,50.0,0.00,0.000,5.35
55846,50.0,0.00,0.000,5.37
55950,50.0,0.00,0.000,5.37
56055,50.0,0.00,0.000,2.62
56161,50.0,0.00,0.000,1.50
56265,50.0,0.00,0.000,0.54
56371,50.0,0.00,0.000,0.69
56565,50.0,0.00,0.000,1.13
56685,50.0,0.00,0.000,0.48
56805,50.0,0.00,0.000,0.62
56970,50.0,0.00,0.000,0.91
57076,50.0,0.00,0.000,1.22
57181,50.0,0.00,0.000,1.44
57345,50.0,0.00,0.000,0.62
57481,50.0,0.00,0.000,0.74
57600,50.0,0.00,0.000,0.69
57751,50.0,0.00,0.000,0.98
57916,50.0,0.00,0.000,1.20
58051,50.0,0.00,0.000,0.76
58156,50.0,0.00,0.000,0.89
58261,50.0,0.00,0.000,1.04
58455,50.0,0.00,0.000,1.30
58561,50.0,0.00,0.000,1.49
58756,50.0,0.00,0.000,1.92
58861,50.0,0.00,0.000,2.07
58966,50.0,0.00,0.000,2.23
59175,50.0,0.00,0.000,2.60
59356,50.0,0.00,0.000,3.22
59461,50.0,0.00,0.000,3.30
59565,50.0,0.00,0.000,3.28
59670,50.0,0.00,0.000,3.30
59866,50.0,0.00,0.000,3.38
59970,50.0,0.00,0.000,3.84
60076,50.0,0.00,0.000,3.90
60180,50.0,0.00,0.000,3.91
60376,50.0,0.00,0.000,3.89
60481,50.0,0.00,0.000,3.87
60586,50.0,0.00,0.000,4.13
60690,50.0,0.00,0.000,4.17
60886,50.0,0.00,0.000,4.17
60991,50.0,0.00,0.000,4.19
61170,50.0,0.00,0.000,4.17
61276,50.0,0.00,0.000,4.33
61381,50.0,0.00,0.000,4.30
61485,50.0,0.00,0.000,4.34
61590,50.0,0.00,0.000,4.34
61786,50.0,0.00,0.000,4.34
61891,50.0,0.00,0.000,4.32
62011,50.0,0.00,0.000,4.33
62115,50.0,0.00,0.000,4.33
62295,50.0,0.00,0.000,4.26
62416,50.0,0.00,0.000,4.29
62611,50.0,0.00,0.000,4.24
62716,50.0,0.00,0.000,4.22
62820,50.0,0.00,0.000,4.27
63016,50.0,0.00,0.000,4.27
63181,50.0,0.00,0.000,4.21
63286,50.0,0.00,0.000,4.22
63420,50.0,0.00,0.000,4.21
63526,50.0,0.00,0.000,4.20
63720,50.0,0.00,0.000,4.20
63885,50.0,0.00,0.000,4.15
63991,50.0,0.00,0.000,4.20
64096,50.0,0.00,0.000,4.19
64201,50.0,0.00,0.000,4.18
64396,50.0,0.00,0.000,4.19
64500,50.0,0.00,0.000,4.09
64696,50.0,0.00,0.000,4.15
64801,50.0,0.10,0.238,4.15
64906,50.0,0.10,0.179,4.12
65101,50.0,0.10,0.100,4.12
65206,50.0,0.10,0.075,4.09
65401,50.0,0.10,0.042,4.10
65506,50.0,0.10,0.032,4.09
65611,50.0,0.20,0.262,4.10
65806,50.0,0.10,0.000,4.08
65910,50.0,0.10,0.000,4.13
66031,50.0,0.10,0.000,4.18
66226,50.0,0.10,0.000,4.25
66330,50.0,0.10,0.000,4.25
66525,50.0,0.10,0.000,4.24
66630,50.0,0.10,0.000,4.27
66810,50.0,0.10,0.000,4.27
66916,50.0,0.10,0.000,4.28
67036,50.0,0.10,0.000,4.25
67215,50.0,0.10,0.000,4.27
67321,50.0,0.10,0.000,4.27
